Lat,Lon,Max_elev,Med_elev,Min_elev,Length_(km),Area_(km2),MassBalance_(mm/yr),
64.8,-18.583333,1800,1185,620,19,248.8,-50,
64.7,-14.883333,1240,1080,820,NA,19.4,-177,
64.4166667,-17.333333,1760,NA,1380,15,160,2480,
64.3166667,-18.066667,1660,1210,690,40,308,-146,
78.8833333,11.833333,600,260,60,6,6.1,-433,
78.6666667,17.333333,600,NA,240,NA,4.8,-697,
78.3333333,16,1030,NA,NA,NA,3.3,-547,
80,20.083333,600,NA,0,NA,2683,140,
78,14,560,NA,100,NA,2.68,-618,
78.0833333,17,1200,NA,30,NA,199.5,330,
78,20,NA,NA,NA,NA,67,-246,
78,14.083333,600,NA,5,NA,17.8,-382,
78.4166667,16.166667,945,NA,320,NA,4.2,-432,
78.1666667,18.833333,560,NA,100,NA,4.7,-318,
79.0833333,24,750,NA,0,NA,7895,240,
77.8333333,15.833333,NA,NA,NA,NA,33.8,-506,
77.0833333,15.4,810,400,27,7,28,-505,
78.8,12.983333,1050,500,0,27,189,95,
78.8833333,12.066667,650,330,50,4.8,5.8,-346,
77.0833333,15.666667,600,350,0,15.8,56.76,-357,
66.65,13.85,1594,1220,40,11.5,38.02,801,
66.7166667,13.766667,1420,1040,770,4,5.48,549,
66.2333333,14.366667,1750,1340,730,7.25,14.01,111,
66.7166667,14.45,1300,1050,900,2.1,1.82,-397,
66.6666667,14,1580,no data,520,10.5,59.16,-713,
66.7166667,14.016667,1260,NA,580,3.4,4.92,-1090,
66.45,13.65,1160,940,588,2.7,2.6,41,
70,21,1050,850,280,4,3.66,-105,
70,21,NA,NA,NA,NA,2.7,-100,
68.2166667,17.916667,1850,1380,930,5.3,5.913,307,
68.1,18,1540,1410,1210,1.4,0.71,-165,
68.3333333,17.85,1240,1040,860,2.3,2.18,-104,
61.75,5.65,1380,1230,890,2.9,4.358,369,
61.75,5.683333,1320,1160,925,2.5,2.91,-33,
60.5333333,7.366667,1850,1740,1050,8.1,18.52,164,
61,6,1570,NA,1460,NA,1.52,-924,
61.55,8.433333,2280,1940,1630,4,8.71,-585,
61.5333333,8.5,2200,1880,1570,4,9.01,-352,
61.5666667,8.133333,1970,1440,1380,2.9,5.26,-224,
61.5666667,8.433333,2130,1900,1470,3.4,2.97,-279,
70,21,2200,NA,1415,NA,5.9,-235,
70,21,2150,NA,1550,NA,3.6,-30,
61.65,8.6,2300,2060,1850,2.3,2.2,-297,
61.7166667,7.133333,1950,1618,355,9.6,47.82,463,
61.6,7.05,1930,1530,540,18.5,50.11,-246,
61.8333333,7.266667,1730,1450,1130,3,4.2,-376,
61.6666667,7.583333,1970,NA,1250,NA,13.16,-542,
61.4166667,6.583333,1620,NA,950,NA,3.81,-1113,
61.5166667,6.8,1730,NA,720,7,11.81,292,
61.8,7.35,1630,1480,1160,5.7,11.87,438,
60.15,6.483333,1570,1460,1190,2.2,8.7,-125,
60.15,6.483333,1580,NA,1100,NA,19.52,-39,
60.0333333,6.333333,1635,1450,450,6,10.672,-62,
70,21,1610,NA,1065,NA,4.5,-230,
59.9833333,6.283333,1640,NA,820,10,45.72,635,
63.6,7.45,1770,1575,1260,6.8,27.94,730,
61.1333333,6.666667,1660,1510,1030,5,9.55,134,
68.0833333,18.683333,1740,NA,1340,3.5,3.93,-101,
67.1666667,17.666667,1860,NA,1080,5.4,9.913,-970,
68.0833333,18.083333,1456,NA,1130,3,4.648,-57,
67.9333333,18.65,1710,NA,1390,1,0.86,453,
68.35,18.316667,1515,1100,940,1.7,1.23,189,
67.9,18.566667,1828,NA,1125,3.7,3.24,-241,
67.9,18.55,1700,NA,1071,4.1,3.9,-164,
45.9166667,6.95,3600,2600,1600,10,19,116,
45.8833333,6.933333,4000,3000,1600,12,28,-24,
45,6,3000,NA,2782,NA,0.2,-860,
45.1166667,6.166667,3190,3000,2830,1.5,0.83,-624,
45.1666667,6.166667,3400,2900,2700,2.5,3,-255,
46.6166667,8.4,3620,2940,2125,10.2,17.38,110,
46.8166667,8.983333,3421,2760,2260,2.9,2.621,-122,
46.8333333,8.983333,2980,2740,2550,1.1,0.808,-119,
46.4333333,8.333333,3373,2920,2389,6.2,6.149,-267,
46.85,10.083333,3160,2780,2439,3.5,3.15,-12,
46.5,8.033333,4160,3140,1556,24.7,126.99,-60,
47.416667,10.9833333,2820,2688,2556,0.9,0.368,232,
46.8,10.7666667,3710,3050,2426,7.13,8.725,-437,
46.833333,10.8,3490,3180,2720,4.2,4.291,-46,
46.883333,10.8166667,3627,3187,2748,3.3,9.088,-202,
47.133333,12.6,2920,2860,2780,0.4,0.16,252,
47.133333,12.6,3050,2780,2500,1.5,1.5,-202,
47.033333,13,3120,2680,2380,3,1.093,-811,
46.7,10.1666667,3160,2810,2408,2.8,3.846,-699,
46.85,10.1333333,3130,2790,2430,2.8,2.25,-982,
46.85,10.1,3160,2910,2290,2.8,2.56,-512,
46.8,11.0166667,3420,2910,2450,5.1,3.52,-192,
46.45,10.7,3350,3092,2857,2.2,3.857,-678,
45.516667,7.4333333,3170,3000,2900,1.9,0.76,-678,
46.333333,10.5,3120,2925,2760,0.7,0.39,-814,
46.433333,11.8666667,3340,2825,2475,1.5,2.6,521,
46.483333,10.7666667,3355,3197,2880,1.1,0.66,-565,
42.65,0.6333333,3180,3025,2790,1.1,0.5,11,
-0.15,37.3,4962,4750,4611,0.95,0.2047,-890,
43.2,42.7666667,3798,3280,2700,4.2,3.1,-36,
43.3,42.4666667,5000,3880,3316,5.8,4.47,38,
43.083333,41.1666667,3160,2785,2490,4,3.33,-321,
43.2,42.7666667,3600,NA,3300,0.6,0.36,-511,
43.2,42.7666667,3700,NA,3200,1,0.45,124,
43.2,42.7666667,3600,NA,3300,0.8,0.21,167,
43,42,4342,NA,3100,2.8,3.34,630,
43,42,3980,NA,3340,NA,1.5,394,
43.166667,43,5050,-,2080,17.6,36.2,-403,
42.916667,43.6666667,4460,-,2200,8.6,9.7,92,
43.166667,41.6666667,3240,NA,2270,3.9,2.7,-45,
43.3,42.4666667,4300,NA,2950,2.96,3.75,-228,
50.083333,87.7333333,4043,3250,2559,5.9,6.24,-45,
50.083333,87.75,3714,3200,2229,4.22,2.73,1,
50.083333,87.7333333,3750,3000,2500,5.3,4.8,137,
50.1,87.7,3550,3100,3025,1.4,0.93,-36,
50.116667,87.6833333,NA,NA,NA,NA,0.24,760,
60,90,2728,NA,2023,NA,3.2,-136,
58,160.6333333,1770,1550,790,8.1,14.2,-140,
54.683333,161.6333333,1200,810,320,6.95,7.55,740,
53.233333,158.8166667,2050,1590,880,4.6,1.8,-190,
54.333333,160.0166667,1300,1180,1025,NA,0.6,1600,
52.383333,158.1166667,1800,1710,1500,1.5,1.09,210,
52.416667,158.1666667,1950,1700,1460,1.7,1.38,176,
67.666667,66.3333333,1180,950,820,1.4,0.88,-187,
67.716667,66.1666667,650,520,400,0.9,0.3,-134,
79.366667,95.65,728,500,40,55,1817,23,
76,62.0833333,860,NA,0,NA,515,-77,
80,53,360,NA,0,NA,5.5,-510,
39.666667,71.5,4960,4200,3620,9.4,22.503,-479,
39.666667,71.5,NA,NA,3620,NA,0.12,71,
39.35,70.1333333,4340,3980,3660,2.2,1.46,-453,
45.083333,80.2333333,4464,3660,3126,3.51,2.81,-146,
43,77.1,4219,3770,3414,3.1,2.66,-401,
43,77.1,4220,NA,3450,2.2,1.72,-321,
43,77.1,4150,NA,3450,1.7,1.43,-434,
43,77.1,4190,NA,3610,0.6,0.35,-289,
42.616667,77.4,5020,NA,3300,11.5,37.5,63,
43,77,NA,NA,NA,NA,1.88,630,
43,77,NA,NA,NA,NA,1.9,670,
43,77.3,4540,NA,3560,4.7,10.8,580,
41.85,77.7666667,4433,4151,3864,1.28,0.51,-422,
42,79,5520,NA,3400,29,84.1,-233,
42,79,6870,NA,2800,60.5,567.2,32,
42.1,78.3,4829,3886,3293,3.55,4.19,-438,
42.5,78,4609,NA,4150,NA,9.35,-256,
42.45,74.5,4437,3970,3250,5.1,6.21,-312,
41.833333,78.2,4980,4280,3780,6.13,11.43,-425,
41.783333,77.7833333,4496,4187,3895,2.5,1.25,-706,
41.833333,78.1833333,4800,4252,3860,4.48,3.61,-125,
43.083333,86.8166667,4486,4040,3736,2.2,1.84,-151,
43.083333,86.8166667,4224,NA,3736,2.2,1.163,-236,
43.083333,86.8166667,4476,NA,3795,1.95,0.677,-173,
39.233333,97.9,5145,4720,4310,3.8,3.04,192,
37.55,101.75,5024,4620,4200,2.2,1.36,99,
39.233333,98.5666667,5262,4840,4420,2.5,1.62,85,
29.583333,101.9333333,7514,NA,2980,13.1,25.71,-231,
39.433333,96.55,5481,4880,4260,10.1,21.91,331,
33.166667,92.1333333,5926,NA,5380,2.8,1.767,97,
35.666667,94.1833333,5520,NA,4805,1.8,1.1,130,
27.95,88.6833333,5520,5300,4840,5.6,4.43,-242,
30.55,79.9,5150,4560,4240,5.5,2.56,-1097,
31.283333,78.3333333,5360,4600,4400,5.5,4.97,-226,
31.616667,78.8166667,NA,NA,4760,NA,2,-375,
30.733333,79.6833333,5730,4400,3720,6,7,-243,
34.266667,75.8666667,4925,NA,3920,NA,1.7,-362,
34.333333,75.7833333,5000,NA,3690,NA,11.9,-265,
34.333333,75.7166667,4900,NA,3740,NA,9.9,-287,
27.7,86.5666667,5360,5220,4952,1.7,0.568,-492,
36.583333,137.6166667,2720,-,2690,0.07,0.003,224,
-4.1,137.1666667,4800,4600,4380,1.8,0.89,-81,
-4.083333,137.1666667,4860,4610,4260,2.1,1.95,-512,
-43.133333,170.9166667,1730,1510,1390,1.35,0.93,-2383,
-43.516667,170.3166667,2830,NA,730,28.5,98.34,-770,
-54.45,-36.8833333,1730,NA,1390,NA,0.3,-150,
-54.666667,-36.8333333,2000,NA,0,NA,11.4,-254,
-71.05,68.3333333,450,NA,40,NA,6.3,-103,
-77.583333,161.6166667,1800,NA,1400,NA,1.36,10,
-77.583333,162.8666667,1800,1500,1200,6,7.96,-15,
-77.6,161.55,2040,NA,1170,NA,9.92,8,
-63,-60.5833333,400,NA,100,NA,0.418,-290,
